locationNumber,companyName,street,city,state,stateName,zip,zip4,NAICS,SIC,salesVolume,headBranch,employeeNumber,sqftCode,SCORE,LON,LAT,waitTime,sequence,timestamp
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,10,7,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,5,7,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,5,7,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,12,7,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,4,7,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,3,7,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,6,7,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,5,7,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,4,7,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,16,7,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,4,7,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,7,7,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,10,7,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,15,8,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,8,8,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,3,8,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,5,8,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,10,8,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,4,8,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,5,8,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,8,8,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,5,8,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,4,8,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,15,8,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,5,8,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,7,8,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,9,8,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,13,9,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,4,9,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,4,9,
718176600,STARBUCKS,SANTA MONICA PL,SANTA MONICA,CA,California,90401,2372,72251505,581228,888,2,15,C,100,-118.493800000359000,34.014999999781400,5,9,
637356007,STARBUCKS,BROADWAY,SANTA MONICA,CA,California,90401,2608,72251505,581228,296,2,5,B,100,-118.490000000045000,34.017200000068100,11,9,
427380196,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1307,72251505,581228,888,2,15,B,100,-118.498700000315000,34.018300000051800,3,9,
428053514,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90401,1907,72251505,581228,888,2,15,B,100,-118.492299999786000,34.024000000026000,4,9,
717443621,STARBUCKS,LINCOLN BLVD,SANTA MONICA,CA,California,90401,3523,72251505,581228,888,2,15,B,100,-118.489800000028000,34.018599999875000,7,9,
637355942,STARBUCKS,WILSHIRE BLVD,SANTA MONICA,CA,California,90403,5410,72251505,581228,296,2,5,B,100,-118.489300000436000,34.026500000276200,5,9,
419657184,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1763,72251505,581228,710,2,12,C,100,-118.494299999951000,34.032600000203600,3,9,
241902139,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3573,72251505,581228,829,2,14,C,100,-118.474799999686000,34.027700000115100,13,9,
609916168,STARBUCKS,SANTA MONICA BLVD,SANTA MONICA,CA,California,90404,2065,72251505,581228,710,2,12,C,100,-118.475700000209000,34.032199999682400,6,9,
715436171,STARBUCKS,CLOVERFIELD BLVD,SANTA MONICA,CA,California,90404,4006,72251505,581228,888,2,15,C,100,-118.473300000011000,34.027300000317200,8,9,
427381791,STARBUCKS,COLORADO AVE,SANTA MONICA,CA,California,90404,3553,72251505,581228,888,2,15,C,100,-118.469699999713000,34.031399999682600,9,9,
469121511,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1403,72251505,581228,829,2,14,B,100,-118.501800000122000,34.026900000122600,11,10,
637571431,STARBUCKS,MONTANA AVE,SANTA MONICA,CA,California,90403,1503,72251505,581228,414,2,7,B,100,-118.499799999957000,34.027799999769900,6,10,
222720476,STARBUCKS,3RD STREET PROMENADE,SANTA MONICA,CA,California,90401,1310,72251505,581228,1362,2,23,C,100,-118.496799999709000,34.016199999897900,3,10,
